steps_per_min,heart_rate_bpm,accelerometer_magnitude,skin_temperature_c,calories_per_min,gyroscope_magnitude,true_activity
155.394,156.659,4.114,36.144,9.964,2.374,Running
75.724,129.537,3.84,37.169,16.141,3.835,Gym
161.972,153.523,3.535,37.241,12.554,1.838,Running
46.194,143.121,3.799,37.083,18.151,2.687,Gym
5.525,71.12,0.379,36.378,1.528,0.19,Desk Work
140.865,166.773,4.568,37.062,11.078,2.93,Running
20.442,129.241,1.879,36.551,10.022,1.088,Cycling
140.104,146.332,4.915,37.333,13.647,2.469,Running
169.65,169.936,4.101,36.891,14.476,1.849,Running
98.613,100.574,1.501,36.361,4.792,0.525,Walking
78.735,128.008,5.941,37.101,11.021,3.097,Gym
70.473,130.454,5.418,37.474,14.045,3.087,Gym
96.132,108.851,0.954,36.394,6.287,0.792,Walking
31.904,147.247,2.629,36.937,12.167,1.707,Cycling
85.218,132.271,3.593,36.818,12.358,4.168,Gym
79.165,140.518,5.119,37.426,11.383,3.517,Gym
99.612,99.195,2.031,36.327,4.838,0.557,Walking
153.894,138.281,3.001,36.473,10.645,2.348,Running
140.784,184.007,2.874,36.534,11.029,2.312,Running
157.14,141.995,2.425,36.813,14.58,2.343,Running
18.574,136.453,2.116,36.679,8.51,2.288,Cycling
19.051,158.294,2.706,36.924,8.625,1.207,Cycling
101.115,87.613,5.242,37.182,14.627,2.704,Gym
29.619,151.642,2.187,35.876,10.492,1.338,Cycling
0.0,45.603,0.175,36.155,1.0,0.035,Sleeping
159.269,171.5,4.147,37.137,10.205,2.329,Running
79.964,164.376,5.785,36.87,16.107,3.053,Gym
0.0,73.377,0.216,35.752,1.422,0.158,Desk Work
0.0,56.842,0.079,35.7,0.974,0.071,Sleeping
106.773,94.822,1.418,36.675,5.338,0.831,Walking
0.435,54.853,0.052,36.061,0.825,0.073,Sleeping
99.767,93.792,1.79,36.502,5.493,0.915,Walking
101.223,172.412,4.875,36.886,16.964,2.639,Gym
0.0,53.278,0.048,36.005,1.069,0.011,Sleeping
2.154,63.282,0.122,35.716,1.096,0.049,Sleeping
162.356,141.603,3.745,37.4,13.0,2.62,Running
101.754,87.13,1.777,36.359,5.411,0.788,Walking
0.123,62.946,0.182,35.886,0.714,0.057,Sleeping
0.163,59.061,0.088,36.328,0.912,0.059,Sleeping
75.765,138.423,3.906,37.289,11.077,3.761,Gym
2.326,48.821,0.17,36.114,0.884,0.038,Sleeping
91.184,114.77,1.435,36.313,6.29,0.82,Walking
0.299,64.627,0.344,36.034,1.354,0.184,Desk Work
92.214,111.016,2.041,36.435,5.76,0.718,Walking
1.117,83.206,0.229,36.158,1.512,0.098,Desk Work
66.048,120.136,5.009,37.503,9.944,4.037,Gym
0.344,48.869,0.064,36.227,0.962,0.087,Sleeping
164.287,135.46,4.537,36.947,14.745,2.69,Running
134.09,164.712,3.626,36.931,11.386,2.094,Running
0.0,80.438,0.31,35.758,2.131,0.085,Desk Work
99.509,107.117,1.448,36.267,4.694,0.823,Walking
65.992,149.624,4.693,37.663,17.105,2.794,Gym
172.42,169.811,2.959,36.947,11.717,3.044,Running
17.783,113.015,1.862,36.849,8.984,1.887,Cycling
150.206,182.026,4.221,36.684,10.637,1.905,Running
98.557,84.046,1.204,35.969,5.337,0.952,Walking
0.0,49.794,0.103,35.838,1.179,0.021,Sleeping
25.522,111.433,2.365,36.391,9.201,1.949,Cycling
0.922,64.906,0.321,35.801,1.851,0.138,Desk Work
53.562,130.305,4.681,36.917,13.734,3.461,Gym
3.948,76.263,0.363,36.619,2.012,0.126,Desk Work
85.934,91.734,1.489,36.448,4.462,1.147,Walking
0.0,59.056,0.058,36.188,1.146,0.083,Sleeping
