x_coord,y_coord,defect_density,particle_size_um,electrical_fail_rate,distance_from_center,true_pattern
0.326,-0.02,0.03764679017157685,0.3164616050180358,0.007692362732736268,0.327,Random
-0.326,0.787,0.7314615869200858,0.9460401748205213,0.6673616096272718,0.851,Edge Ring
0.509,0.151,0.6565569731455582,3.124915065818119,0.6572896559233001,0.53,Scratch
0.907,-0.087,0.911056805117402,0.9243671086683325,0.6732210184373476,0.912,Edge Ring
0.113,0.058,0.055579378790580815,0.7109852526713349,0.07891233785486157,0.127,Random
-0.349,0.296,0.020633721015743782,0.5139102138999226,0.0054145144839936946,0.458,Random
0.006,-0.001,0.9309998129005391,1.1098024877462853,0.5389632309020369,0.007,Center Spot
0.582,0.133,0.1108897454733625,0.8072235525306279,0.021442054972147927,0.597,Random
0.526,0.656,0.6624137238794907,1.3345736212251857,0.6615877954255267,0.841,Local Cluster
0.923,-0.227,0.07687997527987346,0.5421844299864687,0.011838477563886788,0.95,Random
0.271,0.672,0.05489248517503781,0.27013620939826355,0.03147785478843196,0.725,Random
-0.326,-0.153,0.6930220774146747,2.693846215316691,0.541925016064536,0.36,Scratch
0.166,-0.982,0.7787721595115423,0.5902445712385403,0.7711834914938642,0.996,Edge Ring
0.377,0.629,0.719219467168484,1.2746721466992208,0.639909932906455,0.733,Local Cluster
0.694,0.372,0.00630565450759405,0.7478826253863098,0.040951820524781746,0.787,Random
0.582,0.616,0.6582898090716703,1.360168345127428,0.5677828032602548,0.847,Local Cluster
-0.02,-0.069,0.8053143642277765,1.147549748111005,0.6858503996696192,0.072,Center Spot
0.062,0.577,0.16307940602558102,0.550644821023574,0.027298473299142603,0.58,Random
-0.347,0.392,0.11575264806130607,0.4320142670402419,0.022833642538172556,0.523,Random
0.03,0.047,0.11139894930074005,0.6938181643194572,0.12931888636782107,0.056,Random
-0.638,0.692,0.04421667174862589,0.4126668811642835,0.07266711126443864,0.941,Random
0.718,-0.532,0.8057976164183499,0.49522840488913544,0.5537630574912974,0.894,Edge Ring
-0.111,-0.829,0.009588705178731444,0.6662009611076193,0.10869185321689914,0.836,Random
0.629,0.624,0.7533935022427634,1.4855440846624006,0.5682600444250845,0.887,Local Cluster
-0.243,0.38,0.5465877496026035,1.2194145518817838,0.37724549932334595,0.451,Donut
0.667,-0.57,0.0013560092802227463,0.3575858832424216,0.05779048047470603,0.877,Random
